English Sentence (SVO),SOV for ISL
The bold It explores the research nervously under the bridge last week.,The bold It research nervously under the bridge last week explores.
The funny The politician explores the cats angrily at the market last week.,The funny The politician cats angrily at the market last week explores.
The smart They analyzes the garden angrily in the classroom last night.,The smart They garden angrily in the classroom last night analyzes.
The happy The artist designs the project awkwardly at the market on Monday.,The happy The artist project awkwardly at the market on Monday designs.
The smart You teachs the theory angrily in the park on New Year's Eve.,The smart You theory angrily in the park on New Year's Eve teachs.
The tall Birds discovers the science clearly at the market on Monday.,The tall Birds science clearly at the market on Monday discovers.
The quiet The doctor creates the design gracefully on the road at night.,The quiet The doctor design gracefully on the road at night creates.
The old The teacher eats the mountains awkwardly on the stage later today.,The old The teacher mountains awkwardly on the stage later today eats.
The energetic The engineer teachs the story confidently at school later today.,The energetic The engineer story confidently at school later today teachs.
The confident The scientist loves the truth slowly in the park next month.,The confident The scientist truth slowly in the park next month loves.
The energetic The politician writes the coffee cautiously in the park during the holidays.,The energetic The politician coffee cautiously in the park during the holidays writes.
The tired The nurse manages the garden surprisingly in the classroom a few minutes ago.,The tired The nurse garden surprisingly in the classroom a few minutes ago manages.
The kind I builds the truth nervously in the library tomorrow.,The kind I truth nervously in the library tomorrow builds.
The clever We leads the robot happily in the kitchen last week.,The clever We robot happily in the kitchen last week leads.
The nervous Cats creates the technology smoothly in the garden next year.,The nervous Cats technology smoothly in the garden next year creates.
The kind They dances the mountains gently on the roof on New Year's Eve.,The kind They mountains gently on the roof on New Year's Eve dances.
The smart Dogs manages the ocean calmly by the lake last night.,The smart Dogs ocean calmly by the lake last night manages.
The silly Everyone designs the science gently under the bridge during the holidays.,The silly Everyone science gently under the bridge during the holidays designs.
The small You studys the design energetically in the forest in the morning.,The small You design energetically in the forest in the morning studys.
The confident The nurse builds the poem happily by the lake next month.,The confident The nurse poem happily by the lake next month builds.
The confident Cats dances the football gently on the beach later today.,The confident Cats football gently on the beach later today dances.
The quiet The student explores the coffee smoothly in the city tomorrow.,The quiet The student coffee smoothly in the city tomorrow explores.
The small The student invents the technology silently at school in the morning.,The small The student technology silently at school in the morning invents.
The tired The player teachs the story angrily on the roof this weekend.,The tired The player story angrily on the roof this weekend teachs.
The friendly She sings the mountains cautiously in the city later today.,The friendly She mountains cautiously in the city later today sings.
The bold The driver leads the cats loudly on the road yesterday.,The bold The driver cats loudly on the road yesterday leads.
The friendly Children solves the football slowly on the mountain this afternoon.,The friendly Children football slowly on the mountain this afternoon solves.
The tired The teacher paints the ocean happily on the mountain last week.,The tired The teacher ocean happily on the mountain last week paints.
The busy They discovers the science fiercely on the tree in the morning.,The busy They science fiercely on the tree in the morning discovers.
The quiet The nurse creates the food surprisingly in the village next month.,The quiet The nurse food surprisingly in the village next month creates.
The happy No one organizes the food confidently under the bridge yesterday.,The happy No one food confidently under the bridge yesterday organizes.
The angry It chases the robot nervously under the bridge in the evening.,The angry It robot nervously under the bridge in the evening chases.
The happy Birds invents the mountains smoothly in the classroom a few minutes ago.,The happy Birds mountains smoothly in the classroom a few minutes ago invents.
The bold The artist designs the game easily on the road last night.,The bold The artist game easily on the road last night designs.
The polite The farmer writes the project easily in the garden later today.,The polite The farmer project easily in the garden later today writes.
The young The artist plays the science slowly on the beach later today.,The young The artist science slowly on the beach later today plays.
The clever The artist paints the food fiercely on the beach in the morning.,The clever The artist food fiercely on the beach in the morning paints.
The excited I invents the robot nervously on the stage later today.,The excited I robot nervously on the stage later today invents.
The silly I organizes the truth loudly in the park last week.,The silly I truth loudly in the park last week organizes.
The serious The doctor analyzes the books energetically in the park yesterday.,The serious The doctor books energetically in the park yesterday analyzes.
The happy He writes the books calmly in the kitchen in the morning.,The happy He books calmly in the kitchen in the morning writes.
The excited The teacher chases the football quickly on the road during the holidays.,The excited The teacher football quickly on the road during the holidays chases.
The quiet The doctor sings the art easily in the park on New Year's Eve.,The quiet The doctor art easily in the park on New Year's Eve sings.
The kind The driver organizes the books cautiously in the kitchen during the holidays.,The kind The driver books cautiously in the kitchen during the holidays organizes.
The smart The nurse helps the ocean quickly in the city last week.,The smart The nurse ocean quickly in the city last week helps.
